session_id,session_name,session_date,session_release,participant_ID,participant_info,participant_description,participant_birthdate,participant_gender,participant_race,participant_ethnicity,participant_language,participant_state,exclusion_name,exclusion_reason,exclusion_description,condition_name,vol_id
10182,NA,2015-12-09,EXCERPTS,2015-156,Video,Form 22,2011-04-12,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,Biological,184
10183,NA,2015-12-09,EXCERPTS,2015-157,Video,Form 22,2010-07-28,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,No Violation,184
10188,NA,2015-12-10,EXCERPTS,2015-158,Video,Form 22,2011-06-28,Female,More than one,Not Hispanic or Latino,English,PA,include,NA,NA,Physical,184
10189,NA,2015-12-10,SHARED,2015-159,Video,Form 7,2011-05-10,Male,More than one,Not Hispanic or Latino,English,PA,include,NA,NA,No Violation,184
10190,NA,2015-12-10,SHARED,2015-164,Video,Form 7,2011-02-09,Male,White,Not Hispanic or Latino,English,PA,include,NA,NA,Physical,184
10191,NA,2015-12-10,EXCERPTS,2015-165,Video,Form 7,2011-07-07,Male,More than one,Not Hispanic or Latino,English,PA,inverted,NA,NA,Biological,184
10194,NA,2015-12-09,EXCERPTS,2015-153,Video,Form 20,2011-02-02,Male,White,Not Hispanic or Latino,English,PA,include,NA,NA,Physical,184
10197,NA,2015-12-14,SHARED,2015-166,Audio,Form 9,2011-10-18,Male,More than one,Not Hispanic or Latino,English,PA,include,NA,NA,Physical,184
10224,NA,2015-12-18,EXCERPTS,2015-167,Video,Form 9,2010-10-06,Male,NA,Not Hispanic or Latino,English,PA,include,NA,NA,No Violation,184
10448,NA,2016-02-01,EXCERPTS,2015-118,Video,Form 15,2011-05-11,Male,Black or African American,Not Hispanic or Latino,English,PA,inverted,NA,NA,Biological,184
10451,NA,2016-02-01,EXCERPTS,2015-119,Video,Form 15,2011-11-11,Female,Black or African American,Not Hispanic or Latino,English,PA,include,NA,NA,No Violation,184
10452,NA,2016-02-01,SHARED,2015-120,Video,Form 24,2011-10-26,Female,Black or African American,Not Hispanic or Latino,English,PA,include,NA,NA,Biological,184
10453,NA,2016-02-01,SHARED,2015-134,Video,Form 24,2011-10-26,Male,Black or African American,Not Hispanic or Latino,English,PA,include,NA,NA,Physical,184
10454,NA,2016-01-29,EXCERPTS,2015-122,Video,Form 11,2011-07-04,Male,White,Not Hispanic or Latino,English,PA,include,NA,NA,Biological,184
10455,NA,2016-01-29,EXCERPTS,2015-123,Video,Form 11,2011-09-21,Female,Asian,Not Hispanic or Latino,English,PA,inverted,NA,NA,Biological,184
10456,NA,2016-01-29,EXCERPTS,2015-124,Audio,Form 9,2011-05-22,Female,More than one,Not Hispanic or Latino,English,PA,include,NA,NA,Biological,184
10457,NA,2016-01-29,EXCERPTS,2016-001,Video,Form 11,2011-02-17,Male,White,Not Hispanic or Latino,English,PA,include,NA,NA,Biological,184
10458,NA,2016-01-29,EXCERPTS,2016-002,Video,Form 13,2010-05-27,Male,White,Not Hispanic or Latino,English,PA,include,NA,NA,Biological,184
10459,NA,2016-01-29,EXCERPTS,2016-003,Video,Form 13,2010-07-12,Male,White,Not Hispanic or Latino,English,PA,include,NA,NA,Biological,184
10460,NA,2016-01-29,EXCERPTS,2016-004,Video,Form 13,2010-04-14,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,Biological,184
10461,NA,2016-01-29,EXCERPTS,2016-005,Video,Form 15,2010-02-06,Male,White,Not Hispanic or Latino,English,PA,include,NA,NA,Biological,184
10524,NA,2016-02-08,EXCERPTS,2016-010,Video,Form 24,2011-08-12,Male,White,Not Hispanic or Latino,English,PA,include,NA,NA,No Violation,184
10525,NA,2016-02-08,EXCERPTS,2015-053,Video,Form 26,2010-10-05,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,No Violation,184
10526,NA,2016-02-08,EXCERPTS,2016-011,Video,Form 26,2011-04-06,Male,White,Not Hispanic or Latino,English,PA,include,NA,NA,Physical,184
10527,NA,2016-02-08,EXCERPTS,2015-054,Video,Form 26,2010-12-23,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,Biological,184
10528,NA,2016-02-08,EXCERPTS,2016-013,Video,Form 28,2011-08-23,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,Physical,184
10529,NA,2016-02-08,EXCERPTS,2016-014,Video,Form 28,2011-08-13,Male,White,Not Hispanic or Latino,English,PA,include,NA,NA,No Violation,184
10530,NA,2016-XX-XX,PRIVATE,2016-016,Video,Form 30,NA,Male,White,Not Hispanic or Latino,English,PA,3 years,"3, turning 4 in Sep",NA,Biological,184
10531,NA,2016-XX-XX,PRIVATE,2016-017,Video,Form 30,NA,Female,White,Not Hispanic or Latino,English,PA,3 years,"3, turning 4 in Sep",NA,No Violation,184
10551,NA,2016-02-19,SHARED,2016-028,Audio,Form 3,2011-10-29,Male,White,Not Hispanic or Latino,English,PA,include,NA,NA,Biological,184
10552,NA,2016-02-19,SHARED,2016-029,Video,Form 2,2011-10-12,Male,White,Not Hispanic or Latino,English,PA,include,NA,NA,Biological,184
10553,NA,2016-02-19,EXCERPTS,2016-030,Video,Form 2,2010-05-08,Female,NA,NA,English,PA,include,NA,NA,Physical,184
10554,NA,2016-02-19,EXCERPTS,2016-031,Video,Form 2,2010-11-02,Male,White,Not Hispanic or Latino,English,PA,include,NA,NA,No Violation,184
10555,NA,2016-02-19,EXCERPTS,2016-032,Video,Form 4,2011-05-18,Female,Asian,Not Hispanic or Latino,English,PA,include,NA,NA,Physical,184
10556,NA,2016-02-19,SHARED,2016-033,Video,Form 4,2011-11-28,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,No Violation,184
10557,NA,2016-02-19,SHARED,2016-034,Video,Form 4,2011-11-28,Male,White,Not Hispanic or Latino,English,PA,include,NA,NA,Biological,184
10558,NA,2016-02-19,EXCERPTS,2016-036,Video,Form 6,2010-12-10,Male,White,Not Hispanic or Latino,English,PA,did not understand scale,NA,NA,Physical,184
10559,NA,2016-02-19,EXCERPTS,2016-037,Audio,Form 6,2010-05-21,Male,More than one,Not Hispanic or Latino,English,PA,include,NA,NA,Biological,184
10560,NA,2016-02-19,SHARED,2016-038,Video,Form 8,2010-04-29,Male,White,Not Hispanic or Latino,English,PA,include,NA,NA,Physical,184
10561,NA,2016-02-19,SHARED,2016-039,Video,Form 8,2010-10-07,Male,NA,Not Hispanic or Latino,English,PA,include,NA,NA,No Violation,184
10562,NA,2016-02-19,EXCERPTS,2016-040,Video,Form 8,2009-08-24,Female,NA,NA,English,PA,include,NA,NA,Biological,184
10573,NA,2016-XX-XX,PRIVATE,2016-035,Audio,Form 6,NA,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,No Violation,184
10596,NA,2016-02-18,EXCERPTS,2016-018,Video,Form 30,2011-01-22,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,Physical,184
10597,NA,2016-XX-XX,PRIVATE,2016-019,Audio,Form 32,NA,Female,White,Not Hispanic or Latino,English,PA,inverted,NA,NA,Physical,184
10598,NA,2016-02-18,EXCERPTS,2016-020,Video,Form 32,2011-12-14,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,Biological,184
10599,NA,2016-02-18,SHARED,2016-021,Video,Form 32,2011-12-19,Male,White,Not Hispanic or Latino,English,PA,include,NA,NA,No Violation,184
10600,NA,2016-02-18,EXCERPTS,2016-022,Video,Form 1,2010-11-05,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,No Violation,184
10604,NA,2016-XX-XX,PRIVATE,2016-046,Video,Form 10,NA,Female,Asian,Not Hispanic or Latino,English,PA,include,NA,NA,No Violation,184
10605,NA,2016-02-22,EXCERPTS,2016-047,Video,Form 10,2011-03-28,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,Biological,184
10606,NA,2016-02-22,EXCERPTS,2016-048,Video,Form 10,2011-05-31,Male,White,Not Hispanic or Latino,English,PA,include,NA,NA,Physical,184
10607,NA,2016-02-22,EXCERPTS,2016-049,Video,Form 12,2011-05-18,Male,White,Not Hispanic or Latino,English,PA,include,NA,NA,Physical,184
10608,NA,2016-XX-XX,PRIVATE,2016-050,Video,Form 12,NA,Male,White,Not Hispanic or Latino,English,PA,include,NA,NA,No Violation,184
10609,NA,2016-02-22,EXCERPTS,2016-051,Video,Form 12,2010-09-11,Male,More than one,Not Hispanic or Latino,English,PA,include,NA,NA,Biological,184
10610,NA,2016-XX-XX,PRIVATE,2016-052,Audio,Form 14,NA,Female,Black or African American,Not Hispanic or Latino,English,PA,include,NA,NA,Biological,184
11195,NA,2016-03-16,EXCERPTS,2016-076,Video,Form 14,2010-10-12,Male,Black or African American,Not Hispanic or Latino,English,PA,include,NA,NA,No Violation,184
11225,NA,2016-04-12,EXCERPTS,2016-121,Video,Form 14,2011-06-19,Female,White,Hispanic or Latino,English,PA,include,NA,NA,Physical,184
11226,NA,2016-04-12,SHARED,2016-122,Video,Form 16,2011-02-25,Male,White,Hispanic or Latino,English,PA,include,NA,NA,No Violation,184
11227,NA,2016-04-12,SHARED,2016-123,Video,Form 16,2011-03-28,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,Biological,184
11228,NA,2016-04-12,SHARED,2016-124,Audio,Form 16,2010-12-05,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,Physical,184
11229,NA,2016-04-12,SHARED,2016-125,Video,Form 17,2011-06-17,Male,White,Not Hispanic or Latino,English,PA,include,NA,NA,No Violation,184
11230,NA,2016-XX-XX,PRIVATE,2016-126,Audio,Form 17,NA,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,Physical,184
11641,NA,2016-05-06,EXCERPTS,2016-151,Video,Form 17,2011-05-17,Male,White,Not Hispanic or Latino,English,PA,include,NA,NA,Biological,184
11642,NA,2016-05-06,EXCERPTS,2014-254,Video,Form 19,2011-02-11,Female,White,Not Hispanic or Latino,English,PA,inverted,NA,NA,Physical,184
11643,NA,2016-05-06,EXCERPTS,2014-252,Video,Form 19,2011-06-29,Male,White,Not Hispanic or Latino,English,PA,include,NA,NA,Biological,184
11654,NA,2016-05-17,EXCERPTS,2016-152,Video,Form 19,2011-04-28,Male,White,Not Hispanic or Latino,English,PA,include,NA,NA,No Violation,184
11685,NA,2016-05-19,SHARED,2014-201,Video,Form 21,2011-07-18,Female,Unknown or not reported,Unknown or not reported,English,PA,include,NA,NA,No Violation,184
11751,NA,2016-05-19,EXCERPTS,2016-074,Video,Form 21,2011-02-18,Male,Unknown or not reported,Unknown or not reported,English,PA,include,NA,NA,Biological,184
11776,NA,2016-05-19,EXCERPTS,2016-077,Video,Form 21,2010-12-29,Male,Unknown or not reported,Unknown or not reported,English,PA,inverted,NA,NA,Physical,184
11777,NA,2016-05-19,EXCERPTS,2016-078,Video,Form 23,2012-02-08,Female,Unknown or not reported,Unknown or not reported,English,PA,include,NA,NA,Biological,184
11778,NA,2016-05-19,EXCERPTS,2016-116,Video,Form 25,2012-05-04,Female,Unknown or not reported,Unknown or not reported,English,PA,pre-test,Did not meet inclusion criteria,was ceiling at pre-test,Physical,184
11779,NA,2016-05-19,SHARED,2016-118,Video,Form 25,2012-05-04,Male,Unknown or not reported,Unknown or not reported,English,PA,include,NA,NA,No Violation,184
11780,NA,2016-05-19,SHARED,2016-119,Video,Form 23,2011-11-03,Male,Unknown or not reported,Unknown or not reported,English,PA,include,NA,NA,No Violation,184
11781,NA,2016-05-19,EXCERPTS,2016-143,Video,Form 25,2011-12-15,Female,Unknown or not reported,Unknown or not reported,English,PA,include,NA,NA,Biological,184
11782,NA,2016-05-19,EXCERPTS,2016-145,Video,Form 27,2011-09-13,Male,Unknown or not reported,Unknown or not reported,English,PA,non-cooperative,Withdrew/fussy/tired,NA,No Violation,184
11787,NA,2016-05-26,EXCERPTS,2016-117,Video,Form 27,2011-05-21,Male,Unknown or not reported,Unknown or not reported,English,PA,include,NA,NA,Biological,184
11788,NA,2016-05-26,EXCERPTS,2016-120,Video,Form 27,2011-04-17,Female,Unknown or not reported,Unknown or not reported,English,PA,include,NA,NA,Physical,184
11789,NA,2016-05-26,EXCERPTS,2016-142,Video,Form 29,2010-09-15,Female,Unknown or not reported,Unknown or not reported,English,PA,include,NA,NA,Biological,184
11834,NA,2016-06-08,SHARED,2016-153,Video,Form 29,2012-03-19,Female,White,Unknown or not reported,English,PA,include,NA,NA,Physical,184
11835,NA,2016-XX-XX,PRIVATE,2016-154,Video,Form 29,NA,Female,More than one,Unknown or not reported,English,PA,include,NA,NA,No Violation,184
12106,NA,2016-06-16,EXCERPTS,2016-160,Video,Form 30,2011-11-24,Male,White,Not Hispanic or Latino,English,PA,inverted,NA,NA,Biological,184
12108,NA,2016-06-16,EXCERPTS,2016-159,Video,Form 28,2012-02-09,Male,White,Not Hispanic or Latino,English,PA,include,NA,NA,Biological,184
12109,NA,2016-06-16,EXCERPTS,2016-158,Video,Form 19,2012-04-21,Female,White,Not Hispanic or Latino,English,PA,inverted,NA,NA,Physical,184
12110,NA,2016-06-16,EXCERPTS,2016-157,Video,Form 18,2012-11-06,Male,White,Not Hispanic or Latino,English,PA,inverted,NA,NA,No Violation,184
12111,NA,2016-06-16,EXCERPTS,2016-156,Video,Form 31,2012-03-13,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,No Violation,184
12112,NA,2016-XX-XX,PRIVATE,2014-216,Audio,Form 31,NA,Male,Asian,Not Hispanic or Latino,English,PA,include,NA,NA,Biological,184
12113,NA,2016-06-16,SHARED,2016-161,Video,Form 30,2011-06-24,Male,White,Hispanic or Latino,English,PA,include,NA,NA,No Violation,184
12246,NA,2016-XX-XX,PRIVATE,2016-162,Video,Form 32,NA,Female,More than one,Not Hispanic or Latino,English,PA,include,NA,NA,Physical,184
12248,NA,2016-XX-XX,NA,2016-164,Video,Form 6,NA,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,Physical,184
12249,NA,2016-06-22,EXCERPTS,2016-165,Video,Form 7,2012-06-22,Female,White,Not Hispanic or Latino,English,PA,non-cooperative,Withdrew/fussy/tired,NA,Biological,184
12250,NA,2016-06-22,EXCERPTS,2016-166,Video,Form 11,2011-06-26,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,Physical,184
12251,NA,2016-06-22,EXCERPTS,2016-167,Video,Form 14,2011-04-03,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,Biological,184
12547,NA,2016-06-28,EXCERPTS,2016-168,Video,Form 15,2011-08-26,Male,White,Not Hispanic or Latino,English,PA,include,NA,NA,Biological,184
12548,NA,2016-06-28,EXCERPTS,2016-169,Video,Form 5,2011-05-30,Female,White,Unknown or not reported,English,PA,include,NA,NA,No Violation,184
12549,NA,2016-XX-XX,PRIVATE,2016-170,Video,Form 5,NA,Male,White,Unknown or not reported,English,PA,include,NA,NA,No Violation,184
12550,NA,2016-06-28,EXCERPTS,2016-171,Video,Form 7,2011-11-01,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,Biological,184
12551,NA,2016-06-28,SHARED,2016-172,Video,Form 15,2011-01-04,Female,Asian,Unknown or not reported,English,PA,include,NA,NA,Biological,184
12552,NA,2016-06-28,EXCERPTS,2016-173,Video,Form 18,2010-12-19,Female,Black or African American,Unknown or not reported,English,PA,include,NA,NA,No Violation,184
12557,NA,2016-06-29,SHARED,2016-174,Video,Form 19,2011-12-20,Female,White,Unknown or not reported,English,PA,include,NA,NA,Physical,184
12558,NA,2016-06-29,EXCERPTS,2016-175,Video,Form 21,2011-03-25,Male,White,Unknown or not reported,English,PA,include,NA,NA,Physical,184
12559,NA,2016-06-29,EXCERPTS,2016-176,Video,Form 25,2011-02-26,Male,Unknown or not reported,Not Hispanic or Latino,English,PA,include,NA,NA,Physical,184
12560,NA,2016-06-29,EXCERPTS,2016-177,Video,Form 27,2010-12-10,Female,Asian,Unknown or not reported,English,PA,include,NA,NA,No Violation,184
12561,NA,2016-06-29,SHARED,2016-178,Audio,Form 30,2012-02-21,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,No Violation,184
12562,NA,2016-XX-XX,NA,2016-179,Video,Form 30,NA,Female,Black or African American,Unknown or not reported,English,PA,non-cooperative,Withdrew/fussy/tired,NA,NA,184
12563,NA,2016-XX-XX,PRIVATE,2016-180,Audio,Form 30,NA,Female,White,Unknown or not reported,English,PA,include,NA,NA,Biological,184
12564,NA,2016-XX-XX,PRIVATE,2016-181,Video,Form 31,NA,Female,White,Unknown or not reported,English,PA,include,NA,NA,Physical,184
12886,NA,2016-07-14,EXCERPTS,2016-197,Video,Form 27,2011-05-31,Male,White,Unknown or not reported,English,PA,inverted,NA,NA,NA,184
12887,NA,2016-07-14,EXCERPTS,2016-198,Video,Form 17,2011-01-16,Female,White,Unknown or not reported,English,PA,include,NA,NA,NA,184
12888,NA,2016-07-14,SHARED,2016-200,Video,Form 16,2010-11-16,Male,More than one,Not Hispanic or Latino,English,PA,pre-test,Did not meet inclusion criteria,was ceiling at pre-test,NA,184
12996,NA,2016-07-20,EXCERPTS,2016-207,Video,Form 12,2012-02-07,Female,Black or African American,Not Hispanic or Latino,English,PA,include,NA,NA,Control,184
12997,NA,2016-XX-XX,PRIVATE,2016-211,Video,Form 21,NA,Female,White,NA,English,PA,3 years,"3, turning 4 in Sep",NA,Control,184
12998,NA,2016-07-20,EXCERPTS,2016-213,Video,Form 8,2012-06-08,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,Control,184
12999,NA,2016-07-20,EXCERPTS,2016-214,Video,Form 29,2011-06-16,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,Control,184
13177,NA,2016-XX-XX,NA,2016-223,Audio,Form 25,NA,Female,Black or African American,Not Hispanic or Latino,English,PA,include,NA,NA,Control,184
13178,NA,2016-07-27,EXCERPTS,2016-224,Video,Form 23,2011-03-15,Male,Unknown or not reported,Hispanic or Latino,English,PA,include,NA,NA,Control,184
13179,NA,2016-XX-XX,PRIVATE,2016-226,Audio,Form 6,NA,Female,Asian,Unknown or not reported,English,PA,pre-test,Did not meet inclusion criteria,was ceiling at pre-test,Control,184
13180,NA,2016-07-27,EXCERPTS,2016-227,Video,Form 14,2011-05-10,Male,White,Unknown or not reported,English,PA,inverted,NA,NA,Control,184
13181,NA,2016-XX-XX,PRIVATE,2016-228,Audio,Form 2,NA,Female,Unknown or not reported,Unknown or not reported,English,PA,include,NA,NA,Control,184
13319,NA,2016-XX-XX,PRIVATE,2016-229,Video,Form 1,NA,Female,White,Not Hispanic or Latino,English,PA,inverted,NA,NA,Control,184
13320,NA,2016-08-05,EXCERPTS,2016-230,Video,Form 3,2012-03-09,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,Control,184
13321,NA,2016-XX-XX,NA,2016-231,Video,Form 5,NA,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,Control,184
13322,NA,2016-08-05,EXCERPTS,2016-232,Audio,Form 7,2011-10-17,Female,White,Unknown or not reported,English,PA,include,NA,NA,Control,184
13323,NA,2016-08-05,EXCERPTS,2016-233,Video,Form 30,2012-03-28,Female,White,Unknown or not reported,English,PA,include,NA,NA,Control,184
13324,NA,2016-08-05,EXCERPTS,2016-234,Video,Form 6,2012-01-10,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,Control,184
13325,NA,2016-XX-XX,NA,2016-235,Video,Form 16,NA,Female,White,Not Hispanic or Latino,English,PA,include,NA,NA,Control,184
13326,NA,2016-XX-XX,PRIVATE,2016-236,Audio,Form 14,NA,Male,Black or African American,Unknown or not reported,English,PA,include,NA,NA,Control,184
13327,NA,2016-XX-XX,PRIVATE,2016-237,Audio,Form 21,NA,Male,Black or African American,Unknown or not reported,English,PA,include,NA,NA,Control,184
14078,NA,2016-09-24,EXCERPTS,2016-259,Video,Form 1,2011-11-29,Female,More than one,Not Hispanic or Latino,English,PA,pre-test,Did not meet inclusion criteria,was ceiling at pre-test,Control,184
14079,NA,2016-XX-XX,PRIVATE,2016-260,Video,Form 31,NA,Female,Black or African American,Unknown or not reported,English,PA,include,NA,NA,Control,184
14080,NA,2016-09-24,EXCERPTS,2016-261,Audio,Form 27,2011-12-15,Male,White,Not Hispanic or Latino,English,PA,inverted,NA,NA,Control,184
14685,NA,2016-10-29,SHARED,2016-325,Video,Form 1,2012-12-30,Male,White,Unknown or not reported,English,PA,include,NA,NA,Control,184
14686,NA,2016-10-29,EXCERPTS,2016-326,Video,Form 1,2012-12-18,Female,Black or African American,Unknown or not reported,English,PA,include,NA,NA,Control,184
14687,NA,2016-XX-XX,PRIVATE,2016-327,Audio,Form 27,NA,Male,Black or African American,Unknown or not reported,English,PA,include,NA,NA,Control,184
